,Country/Terretory,UN Region,Estimate1,Year1,Estimate2,Year2,Estimate3,Year3
38,Philippines,Asia,"440,901",2023,"404,284",2022,"394,086",2021
39,Bangladesh,Asia,"420,516",2023,"460,201",2022,"414,907",2021
40,Denmark,Europe,"405,626",2023,"395,404",2022,"398,303",2021
41,South Africa,Africa,"399,015",2023,"405,870",2022,"419,016",2021
42,Hong Kong,Asia,"382,854",2023,"359,839",2022,"369,174",2021
43,Egypt,Africa,"378,110",2023,"476,748",2022,"425,906",2021
44,Pakistan,Asia,—,,"376,533",2022,"342,501",2021
45,Iran,Asia,"367,970",2023,"388,544",2022,"594,892",2021
46,Chile,Americas,"358,557",2023,"301,025",2022,"317,059",2021
47,Romania,Europe,"348,902",2023,"301,262",2022,"284,086",2021
48,Colombia,Americas,"334,689",2023,"343,939",2022,"314,464",2021
49,Czech Republic,Europe,"330,483",2023,"290,924",2022,"281,778",2021
50,Finland,Europe,"301,670",2023,"280,826",2022,"297,302",2021
51,Peru,Americas,"268,235",2023,"242,632",2022,"223,252",2021
52,Iraq,Asia,"267,893",2023,"264,182",2022,"204,004",2021
53,Portugal,Europe,"267,721",2023,"251,945",2022,"253,663",2021
54,New Zealand,Oceania,"251,969",2023,"247,234",2022,"250,451",2021
55,Kazakhstan,Asia,"245,695",2023,"220,623",2022,"193,018",2021
56,Greece,Europe,"239,300",2023,"219,066",2022,"214,874",2021
57,Qatar,Asia,"219,570",2023,"237,296",2022,"179,571",2021
58,Algeria,Africa,"206,007",2023,"191,913",2022,"163,473",2021
59,Hungary,Europe,"188,505",2023,"178,789",2022,"181,848",2021
60,Kuwait,Asia,"164,713",2023,"184,558",2022,"136,642",2021
61,Ethiopia,Africa,"156,083",2023,"126,783",2022,"99,269",2021
62,Ukraine,Europe,"148,712",2023,"160,503",2022,"200,086",2021
63,Morocco,Africa,"138,781",2023,"134,182",2022,"142,867",2021
64,Slovakia,Europe,"127,533",2023,"115,469",2022,"116,527",2021
65,Ecuador,Americas,"121,291",2023,"115,049",2022,"106,166",2021
66,Dominican Republic,Americas,"121,289",2023,"113,642",2022,"94,243",2021
67,Puerto Rico,Americas,"120,838",2023,"113,435",2022,"106,526",2021
68,Kenya,Africa,"118,130",2023,"113,420",2022,"110,347",2021
69,Angola,Africa,"117,877",2023,"106,714",2022,"70,533",2021
70,Cuba,Americas,—,,"107,352",2020,"126,694",2021
71,Oman,Asia,"104,902",2023,"114,667",2022,"88,192",2021
72,Guatemala,Americas,"102,309",2023,"95,003",2022,"85,986",2021
73,Bulgaria,Europe,"100,635",2023,"89,040",2022,"84,058",2021
74,Venezuela,Americas,"96,628",2023,—,,"111,813",2021
75,Uzbekistan,Asia,"92,332",2023,"80,392",2022,"69,239",2021
76,Luxembourg,Europe,"86,971",2023,"82,275",2022,"85,506",2021
77,Tanzania,Africa,"85,421",2023,"75,709",2022,"70,297",2021
